Date,Type,Name,Start,End,Duration
2/12/15,place,Home,2015-02-12T20:29:22-05:00,2015-02-13T00:00:00-05:00,12638
2/13/15,place,Home,2015-02-13T00:00:00-05:00,2015-02-13T07:27:35-05:00,26855
2/13/15,move,cycling,2015-02-13T07:27:35-05:00,2015-02-13T07:43:28-05:00,953
2/13/15,place,Place in University of Florida,2015-02-13T07:43:29-05:00,2015-02-13T09:24:43-05:00,6074
2/13/15,move,cycling,2015-02-13T09:24:43-05:00,2015-02-13T09:27:25-05:00,162
2/13/15,place,Place in University of Florida,2015-02-13T09:27:25-05:00,2015-02-13T12:42:28-05:00,11703
2/13/15,move,cycling,2015-02-13T12:42:28-05:00,2015-02-13T12:56:54-05:00,866
2/13/15,place,Home,2015-02-13T12:56:55-05:00,2015-02-14T00:00:00-05:00,39785
2/14/15,place,Home,2015-02-14T00:00:00-05:00,2015-02-14T07:34:30-05:00,27270
2/14/15,move,cycling,2015-02-14T07:34:30-05:00,2015-02-14T07:37:14-05:00,164
2/14/15,place,Place in Gainesville,2015-02-14T07:37:14-05:00,2015-02-14T07:54:23-05:00,1029
2/14/15,move,cycling,2015-02-14T07:54:23-05:00,2015-02-14T07:57:32-05:00,189
2/14/15,place,Home,2015-02-14T07:57:33-05:00,2015-02-14T16:13:41-05:00,29768
2/14/15,move,walking,2015-02-14T16:13:41-05:00,2015-02-14T16:27:19-05:00,818
2/14/15,place,Place in Gainesville,2015-02-14T16:27:19-05:00,2015-02-14T16:50:57-05:00,1418
2/14/15,move,walking,2015-02-14T16:50:57-05:00,2015-02-14T17:01:47-05:00,650
2/14/15,place,Place in Gainesville,2015-02-14T17:01:47-05:00,2015-02-14T17:38:32-05:00,2205
2/14/15,move,walking,2015-02-14T17:38:32-05:00,2015-02-14T17:44:05-05:00,333
2/14/15,place,Place in Gainesville,2015-02-14T17:44:05-05:00,2015-02-14T18:02:45-05:00,1120
2/14/15,move,walking,2015-02-14T18:02:45-05:00,2015-02-14T18:08:30-05:00,345
2/14/15,place,Home,2015-02-14T18:08:29-05:00,2015-02-15T00:00:00-05:00,21091
2/15/15,place,Home,2015-02-15T00:00:00-05:00,2015-02-15T18:20:06-05:00,66006
2/15/15,move,transport,2015-02-15T18:20:06-05:00,2015-02-15T18:29:48-05:00,582
2/15/15,place,Place in Gainesville,2015-02-15T18:29:48-05:00,2015-02-15T20:22:29-05:00,6761
2/15/15,move,cycling,2015-02-15T20:22:29-05:00,2015-02-15T20:25:12-05:00,163
2/15/15,place,Place in Gainesville,2015-02-15T20:25:12-05:00,2015-02-15T20:41:21-05:00,969
2/15/15,move,transport,2015-02-15T20:41:21-05:00,2015-02-15T20:48:50-05:00,449
2/15/15,place,Home,2015-02-15T20:48:50-05:00,2015-02-16T00:00:00-05:00,11470
2/16/15,place,Home,2015-02-16T00:00:00-05:00,2015-02-16T15:42:33-05:00,56553
2/16/15,move,cycling,2015-02-16T15:42:34-05:00,2015-02-16T15:55:58-05:00,804
2/16/15,place,Place in University of Florida,2015-02-16T15:55:58-05:00,2015-02-16T18:40:09-05:00,9851
2/16/15,move,cycling,2015-02-16T18:40:09-05:00,2015-02-16T18:54:02-05:00,833
2/16/15,place,Place in Gainesville,2015-02-16T18:54:01-05:00,2015-02-16T21:08:00-05:00,8039
2/16/15,move,transport,2015-02-16T21:08:00-05:00,2015-02-16T21:17:18-05:00,558
2/16/15,place,Home,2015-02-16T21:17:18-05:00,2015-02-17T00:00:00-05:00,9762
2/17/15,place,Home,2015-02-17T00:00:00-05:00,2015-02-17T09:10:17-05:00,33017
2/17/15,move,cycling,2015-02-17T09:10:17-05:00,2015-02-17T09:24:02-05:00,825
2/17/15,place,Place in University of Florida,2015-02-17T09:24:02-05:00,2015-02-17T11:46:46-05:00,8564
2/17/15,move,cycling,2015-02-17T11:46:46-05:00,2015-02-17T12:07:17-05:00,1231
2/17/15,place,Home,2015-02-17T12:07:16-05:00,2015-02-18T00:00:00-05:00,42764
2/18/15,place,Home,2015-02-18T00:00:00-05:00,2015-02-18T18:30:57-05:00,66657
2/18/15,move,walking,2015-02-18T18:30:57-05:00,2015-02-18T18:43:09-05:00,732
2/18/15,place,Place in Gainesville,2015-02-18T18:43:09-05:00,2015-02-18T18:56:57-05:00,828
2/18/15,move,walking,2015-02-18T18:56:57-05:00,2015-02-18T19:03:02-05:00,365
